id,type_de_bien,année,nb_de_pieces,surface,ville,prix
567,maison,2017,7,150, LIBOURNE,337000
568,maison,1930,6,160, ARCACHON,1150000
569,appartement,1900,1,29, BORDEAUX,265000
570,maison,9,5,260, BLAYE,367500
571,maison,9,5,260, ST ANDRE DE CUBZAC,367500
572,appartement,2,1,52, BORDEAUX,188500
573,maison,7,4,245, CAVIGNAC,630000
574,maison,1900,1,77, COUTRAS,54000
575,maison,4,3,100, MOULIETS ET VILLEMARTIN,160000
576,maison,8,5,230, BEGLES,975000
577,appartement,1900,5,136, BORDEAUX,650000
578,maison,7,3,240, TALAIS,494000
579,appartement,2020,2,40, LE BOUSCAT,204000
580,maison,6,3,150, PRECHAC,149000
581,appartement,4,3,125, BORDEAUX,870000
582,maison,4,3,140, BOURG,176000
583,maison,3,2,55, LE BOUSCAT,360000
584,appartement,2,1,42, LANGON,70000
585,maison,6,3,120, BEGLES,454500
586,maison,17,10,282, TARGON,548500
587,appartement,5,4,100, PESSAC,423000
588,maison,1900,10,260, BORDEAUX,1249000
589,maison,1936,6,132, BORDEAUX,495000
590,maison,2006,6,107, CAVIGNAC,223000
591,appartement,2,1,46, BORDEAUX,155000
592,maison,2005,4,125, LUGOS,328800
593,maison,8,5,266, ST EMILION,698000
594,maison,1900,8,244, ST ANDRE DE CUBZAC,318000
595,maison,1970,5,123, ARCACHON,735000
596,appartement,2,1,37, BORDEAUX,214000
597,maison,4,3,114, ST GERMAIN DU PUCH,254500
598,maison,11,7,270, ST ANDRE DE CUBZAC,371000
599,maison,2003,4,87, LE PORGE,309500
600,maison,1980,5,120, LEGE CAP FERRET,409500
601,maison,2001,4,100, HOURTIN,265000
602,appartement,2017,2,43, LA TESTE DE BUCH,210000
603,maison,1900,5,120, ST DENIS DE PILE,119000
604,maison,6,4,132, ST GERMAIN DU PUCH,399000
