,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1210,2476,maison,1999.0,3,80, SALLES,294700
1211,2477,maison,1986.0,9,161, PESSAC,549980
1212,2478,maison,1950.0,3,73, VENDAYS MONTALIVET,159000
1213,2479,maison,2000.0,7,129, CADAUJAC,422000
1214,2480,maison,1973.0,8,226, PAREMPUYRE,549000
1215,2484,maison,1918.0,9,700, ARCACHON,5950000
1216,2487,maison,2008.0,3,70, GIRONDE SUR DROPT,119565
1217,2489,maison,1979.0,4,96, GUJAN MESTRAS,530000
1218,2491,maison,1950.0,9,180, ETAULIERS,120000
1219,2493,maison,1995.0,5,147, ST CAPRAIS DE BLAYE,175000
1220,2494,appartement,2017.0,3,69, BORDEAUX,275600
1221,2495,appartement,1967.0,4,70, PESSAC,162000
1222,2496,maison,1998.0,5,125, BIGANOS,372000
1223,2497,maison,1900.0,8,234, BORDEAUX,1050000
1224,2498,maison,1900.0,5,180, ST EMILION,275600
1225,2501,appartement,2004.0,2,46, GRADIGNAN,139000
1226,2502,maison,1920.0,3,77, BORDEAUX,310000
1227,2508,maison,1997.0,4,107, GUJAN MESTRAS,397000
1228,2511,maison,1992.0,5,118, LE TAILLAN MEDOC,398900
1229,2515,maison,1940.0,3,70, CASTILLON LA BATAILLE,88000
1230,2518,maison,2008.0,4,116, ARES,750000
1231,2521,appartement,2008.0,2,32, ARCACHON,259700
1232,2522,appartement,2008.0,2,32, ARCACHON,222600
1233,2523,maison,1830.0,5,180, BORDEAUX,789000
1234,2524,appartement,1970.0,5,84, MERIGNAC,214000
1235,2525,maison,1960.0,6,141, EYSINES,449000
1236,2526,appartement,1900.0,2,42, BORDEAUX,199900
1237,2527,appartement,2009.0,3,77, ARCACHON,395000
1238,2528,appartement,2012.0,1,28, LIBOURNE,79000
1239,2529,maison,1900.0,5,93, LIBOURNE,209000
1240,2535,maison,1989.0,6,211, GRADIGNAN,835000
1241,2537,maison,1900.0,8,250, LE BOUSCAT,1648000
1242,2539,maison,1930.0,5,135, BORDEAUX,500000
1243,2540,appartement,1995.0,7,187, ARCACHON,1487200
1244,2541,appartement,2021.0,2,43, CARBON BLANC,194900
1245,2543,maison,2021.0,3,68, CAMBES,229000
1246,2544,maison,2021.0,4,81, CAMBES,263000
1247,2546,maison,1970.0,7,125, PORT STE FOY ET PONCHAPT,112000
1248,2548,maison,1850.0,4,52, LANGON,97000
1249,2549,appartement,1980.0,3,82, MERIGNAC,290000
